dns:senseatlas.net,urn:uuid:7b59bc41-a915-428a-9d2e-d62b123d1905,Intertwingler MVP,154
dns:senseatlas.net,urn:uuid:2cc054f8-9387-4da2-945c-9c90adfbf7dc,Sense Atlas Front End,134
dns:senseatlas.net,urn:uuid:1bae1ec0-2cab-4ead-8a04-1d6d304dc2ad,Sense Atlas Rationale,29
dns:senseatlas.net,urn:uuid:5020dc83-ac0c-4f75-9683-a70429e32c99,PM Testing Area,1
dns:senseatlas.net,urn:uuid:4bbcdde6-ed53-4f8d-b3f8-43f800fd05d5,Sense Atlas Concepts,7
dns:sfu-fass.client.methodandstructure.com,urn:uuid:86eb4d1a-12f8-44ec-be89-ca588c2ee1d4,Issue Network,32
dns:smugmug.client.methodandstructure.com,urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,SmugMug Content Platform Strategy Glossary/Index,100
dns:stikeman.client.methodandstructure.com,urn:uuid:33e4df61-3640-4c81-a8dc-6747e4be83bc,Issue Network,19
dns:voxmedia.client.methodandstructure.com,urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,,42
dns:voxmedia.client.methodandstructure.com,urn:uuid:e399344f-9c1e-499c-8fb0-d960090be237,,67
dns:voxmedia.client.methodandstructure.com,urn:uuid:0c7028f0-8226-47b3-acff-a4e83e6a60fd,Issue Network,191
dns:voxmedia.client.methodandstructure.com,urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,Glossary & Index,111
